FPS	fps
删不掉 	无法删除
咋天 	昨天
生请 	申请
绑卡 	绑定银行卡
转卡 	转账到银行卡
提了 	提取了
额服 	额度
带章 	盖章
免密 	免除密码
绑银 	绑定银行卡
确退 	却退
反现 	返现
出理 	处理
额滴 	我的
开个 	开具
无发 	无法
哪查 	哪里查询
一点点 	一点
没月 	每月
已否 	是否
增额 	增加额度
校证码 	校正码
不像 	不想
查用 	查询使用
多扣 	额外扣款
按差 	按错
花清 	还清
一人 	每人
义马 	蚂蚁
余利宝 	余额宝
陶宝 	淘宝
伸请 	申请
蚂蚊 	蚂蚁
氣 	气
費 	费
处消 	注销
东结 	冻结
額 	额
为十么 	为什么
为什在 	为什么
麼 	么
预受 	预售
ＱＱ 	qq
问匙 	问题
昨弄 	咋弄
过开 	给我开具
最晚 	最迟
真么样 	怎样
颃 	领
行么 	可以吗
行不行 	可以不可以
芝麻份 	芝麻分
迟个 	推迟
挺用 	停用
题额 	提升额度
密能 	你能
激费 	缴费
涨 	增加
变 	改变
往 	去往
面页 	页面
透资 	透支
账上	账单上
哪有 	哪里有
升请 	申请
绑订 	绑定
不鸟 	不了
日算 	按日计算
遗期 	逾期
己用 	已经使用
還清 	还清
优费 	优惠
提分 	提高分值
群子 	裙子
网商带 	网商贷
廷长 	延长
从复 	重复
删出 	删除
多少线 	多少钱
最底 	最低
多上 	多少
冻洁 	冻结
工能 	功能
吹款 	催款
化费 	话费
长到 	涨到
为社么	为什么
固话 	固定电话
提钱 	提现
二唯码 	二维码
花貝 	花呗
什莫 	什么
帳户 	账户
结呗 	借呗
什呗 	借呗
首单 	第一个账单
咋会事 	怎么回事
够物 	购物
说活 	说话
发呗 	花呗
台灣 	台湾
咱办 	咋办
失敗 	失败
珊除 	删除
結清 	结算完毕
申清 	申请
网商貸 	网商贷
可服 	客服
咸少 	减少
化唄 	花呗
优惠权 	优惠券
現在 	现在
一個 	一个
打車 	打车
還嗎 	还吗
臨時 	临时
肆拾 	四十
好码 	好吗
蛮足 	满足
阔以 	可以
支宝 	支付宝
買家 	买家
安卓机 	安卓手机
优会 	优惠
密碼 	密码
還錢 	还钱
調高 	调高
胆是 	但是
验正 	验证
住册 	注册
口马 	吗
解绑 	解除绑定
灰服 	恢复
未审核 	没有审核
本今 	本金
允值 	充值
好麻 	好吗
没太懂 	不懂
学厉 	学历
什样 	什么样子
仟 	千
课胡 	客服
幺 	么
支麻 	芝麻
洞结 	冻结
蚂仪 	蚂蚁
廷后 	延后
蚂蜂 	蚂蚁
经贴 	津贴
密麻 	密码
解邦 	解除绑定
只前 	之前
問 	问
盆友 	朋友
九游 	游戏平台
码蚁 	蚂蚁
紅包 	红包
花坝 	花呗
銀行 	银行
綁定 	绑定
机蜜 	机密
榜定 	绑定
筘	扣
减单 	减少账单数量
重填 	重新填写
只右 	只有
支什 	这是什么
率利 	利率
没邦 	没有绑定
撒子 	什么
函在 	还在
发倍 	花呗
考驾照 	考试驾照
备封 	备份
一值 	一直
迅录 	讯录
彻消 	撤销
从叠 	重叠
手贱 	不小心
打滴 	打车
蚂衣 	蚂蚁
识脸 	识别面部
销除 	消除
结请 	结清
反倍 	翻倍
支末 	芝麻
推遲 	推迟
一哈 	一下
微粒袋 	微粒贷
客度	 客服
微粒货 	微粒贷
校检 	校验
凊 	清
会复 	回复
杳询 	查询
申請 	申请
现示 	显示
鐘 	钟
帳 	账
貸 	贷
開 	开
激请 	邀请
微粒代 	微粒贷
下月 	下个月
优惠卷 	优惠券
开痛 	开通
獲 	获
單 	单
重心	重新
微粒银行	微众银行
生份信息	身份信息
在贷	再贷
微利贷	微粒贷
邀用户	邀请用户
微贷	微粒贷
微米粒	微粒贷
有啥用	有什么用
算下	算一下
烦给我	烦请给我
永微信	用微信
有没	有没有
却未	却没有
还未	还没有
更还	更换
价绍	介绍
为毛	为什么
微粒带	微粒贷
手不到	收不到
价款	借款
微力贷	微粒贷
